All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID
05/11/2018,Kogi Iron Limited (ASX:KFE),ASX:KFE,Investor Activism,Unsuccessful,-,Arina Management Pty Limited; Premier Cru Pty Limited,-,IQTR568360565
05/11/2018,Molopo Energy Limited,-,Investor Activism,Announced,-,Keybridge Capital Limited (ASX:KBC),-,IQTR569821511
05/10/2018,Nighthawk Energy plc,-,Investor Activism,Announced,-,Chase Nominees Limited,-,IQTR563804632
05/10/2018,OptimizeRx Corporation (NasdaqCM:OPRX),NasdaqCM:OPRX,Investor Activism,Announced,-,"Wolverine Asset Management, LLC",-,IQTR564174884
05/10/2018,Range Resources Corporation (NYSE:RRC),NYSE:RRC,Investor Activism,Announced,-,Stelliam Investment Management LP,-,IQTR564258373
05/09/2018,China Dairy Corporation Limited,-,Investor Activism,Successful,-,"Dingxi (Shanghai) Equity Investment Management Co., Limited",-,IQTR563453932
05/09/2018,Ranger Direct Lending Fund Plc (LSE:RDL),LSE:RDL,Investor Activism,Unsuccessful,-,LIM Advisors Limited,-,IQTR563502082
05/09/2018,"Owens Realty Mortgage, Inc.",-,Investor Activism,Successful,-,-,-,IQTR563523408
05/09/2018,"Tesla, Inc. (NasdaqGS:TSLA)",NasdaqGS:TSLA,Investor Activism,Unsuccessful,-,CtW Investment Group,-,IQTR569958354
05/09/2018,Petropavlovsk PLC (LSE:POG),LSE:POG,Investor Activism,Successful,-,Slevin Ltd.; Cabs Platform Limited,-,IQTR570468873
05/09/2018,LendingClub Corporation (NYSE:LC),NYSE:LC,Investor Activism,Announced,-,"Quarz Capital Management, Ltd.",-,IQTR600350857
05/08/2018,"Tempus Applied Solutions Holdings, Inc. (OTCPK:TMPS)",OTCPK:TMPS,Investor Activism,Announced,-,Me Aviation Services Llc,-,IQTR563127369
05/08/2018,Telenet Group Holding NV (ENXTBR:TNET),ENXTBR:TNET,Investor Activism,Announced,-,"Lucerne Capital Management, LP.",-,IQTR596676205
05/07/2018,"athenahealth, Inc.",-,Investor Activism,Successful,-,Elliott Management Corporation,-,IQTR562831736
05/07/2018,"Destination XL Group, Inc. (NasdaqGS:DXLG)",NasdaqGS:DXLG,Investor Activism,Settled,-,-,-,IQTR563002304
05/07/2018,Citigroup Inc. (NYSE:C),NYSE:C,Investor Activism,Settled,-,ValueAct Capital Management L.P.,-,IQTR598691182
05/07/2018,Stella Chemifa Corporation (TSE:4109),TSE:4109,Investor Activism,Announced,-,Dalton Investments LLC,-,IQTR599152604
05/04/2018,Target Corporation (NYSE:TGT),NYSE:TGT,Investor Activism,Unsuccessful,-,-,-,IQTR571181611
05/04/2018,United Technologies Corporation (NYSE:UTX),NYSE:UTX,Investor Activism,Announced,-,Third Point LLC,-,IQTR571387162
05/02/2018,McDonald's Corporation (NYSE:MCD),NYSE:MCD,Investor Activism,Announced,-,SumOfUs,-,IQTR561606450
05/02/2018,SJW Group (NYSE:SJW),NYSE:SJW,Investor Activism,Withdrawn,-,California Water Service Group (NYSE:CWT),-,IQTR561624839
05/02/2018,"Tosho Printing Company, Limited (TSE:7913)",TSE:7913,Investor Activism,Announced,-,"Strategic Capital, Inc.",-,IQTR574507187
05/02/2018,Volkswagen AG (XTRA:VOW3),XTRA:VOW3,Investor Activism,Announced,-,Hermes Investment Management Limited,-,IQTR593781616
05/01/2018,"Amazon.com, Inc. (NasdaqGS:AMZN)",NasdaqGS:AMZN,Investor Activism,Withdrawn,-,CtW Investment Group,-,IQTR561332544
05/01/2018,De La Rue plc (LSE:DLAR),LSE:DLAR,Investor Activism,Announced,-,Crystal Amber Advisers (UK) LLP,-,IQTR575024761
04/30/2018,Arcturus Therapeutics Ltd. (NasdaqGM:ARCT),NasdaqGM:ARCT,Investor Activism,Announced,-,Exodus Management Israel Ltd,-,IQTR561105888
04/30/2018,"Owens-Illinois, Inc. (NYSE:OI)",NYSE:OI,Investor Activism,Announced,-,"Atlantic Investment Management, Inc.",-,IQTR561219798
04/30/2018,"Famous Dave's of America, Inc. (NasdaqGS:DAVE)",NasdaqGS:DAVE,Investor Activism,Announced,-,"Blue Clay Capital Management, LLC",-,IQTR561257230
04/27/2018,"United Parcel Service, Inc. (NYSE:UPS)",NYSE:UPS,Investor Activism,Announced,-,Zevin Asset Management Inc.,-,IQTR560740721
04/27/2018,"Stericycle, Inc. (NasdaqGS:SRCL)",NasdaqGS:SRCL,Investor Activism,Announced,-,International Brotherhood Of Teamsters,-,IQTR560749593
04/27/2018,"MVC Capital, Inc. (NYSE:MVC)",NYSE:MVC,Investor Activism,Successful,-,"West Family Investments, Inc.",-,IQTR581528428
04/26/2018,"Douglas Emmett, Inc. (NYSE:DEI)",NYSE:DEI,Investor Activism,Announced,-,International Union Of Operating Engineers,-,IQTR560594182
04/26/2018,"Tesla, Inc. (NasdaqGS:TSLA)",NasdaqGS:TSLA,Investor Activism,Unsuccessful,-,-,-,IQTR569948762
04/26/2018,"Tesla, Inc. (NasdaqGS:TSLA)",NasdaqGS:TSLA,Investor Activism,Unsuccessful,-,-,-,IQTR569949173
04/25/2018,DAVIDsTEA Inc. (NasdaqGM:DTEA),NasdaqGM:DTEA,Investor Activism,Successful,-,Rainy Day Investments Limited,-,IQTR560480367
04/25/2018,"Shinsei Bank, Limited (TSE:8303)",TSE:8303,Investor Activism,Announced,-,Dalton Investments LLC,-,IQTR576862069
04/25/2018,Koninklijke Ahold Delhaize N.V. (ENXTAM:AD),ENXTAM:AD,Investor Activism,Announced,-,Charity Investment Asset Management,-,IQTR595005921
04/24/2018,Pure Multi-Family REIT LP (TSX:RUF.UN),TSX:RUF.UN,Investor Activism,Unsuccessful,-,-,-,IQTR560383573
04/24/2018,Ranger Direct Lending Fund Plc (LSE:RDL),LSE:RDL,Investor Activism,Successful,-,"Oaktree Capital Management, L.P.",-,IQTR560386080
04/24/2018,"MONETA Money Bank, a.s. (SEP:MONET)",SEP:MONET,Investor Activism,Announced,-,Petrus Advisers LLP,-,IQTR596838844
04/24/2018,"OPT Holding, Inc. (TSE:2389)",TSE:2389,Investor Activism,Announced,-,Dalton Investments LLC,-,IQTR598568263
04/23/2018,Natus Medical Incorporated (NasdaqGS:BABY),NasdaqGS:BABY,Investor Activism,Successful,-,"Voce Capital Management, LLC",-,IQTR560248786
04/23/2018,ICTV Brands Inc. (OTCPK:ICTV),OTCPK:ICTV,Investor Activism,Withdrawn,-,-,-,IQTR560309676
04/23/2018,"Interspace Co.,Ltd. (TSE:2122)",TSE:2122,Investor Activism,Announced,-,"RMB Capital Management, LLC",-,IQTR598568399
04/20/2018,FieldPoint Petroleum Corporation (OTCPK:FPPP),OTCPK:FPPP,Investor Activism,Announced,-,-,-,IQTR559977630
04/20/2018,Fortis Healthcare Limited (BSE:532843),BSE:532843,Investor Activism,Announced,-,East Bridge Capital,-,IQTR594574212
04/20/2018,"Nikki Co., Ltd. (TSE:6042)",TSE:6042,Investor Activism,Announced,-,"Ichigo Asset Management, Ltd.",-,IQTR598566564
04/19/2018,Pinnacle Foods Inc.,-,Investor Activism,Successful,-,JANA Partners LLC,-,IQTR559792333
04/19/2018,Firstgroup plc (LSE:FGP),LSE:FGP,Investor Activism,Announced,-,West Face Capital Inc,-,IQTR600405096
04/19/2018,Wienerberger AG (WBAG:WIE),WBAG:WIE,Investor Activism,Announced,-,Petrus Advisers LLP,-,IQTR603377947
04/17/2018,"Apogee Enterprises, Inc. (NasdaqGS:APOG)",NasdaqGS:APOG,Investor Activism,Settled,-,"Engaged Capital, LLC",-,IQTR559455720
04/17/2018,Wells Fargo & Company (NYSE:WFC),NYSE:WFC,Investor Activism,Unsuccessful,-,-,-,IQTR559466172
04/17/2018,Macquarie Infrastructure Corporation (NYSE:MIC),NYSE:MIC,Investor Activism,Unsuccessful,-,"Moab Capital Partners, LLC",-,IQTR559528317
04/17/2018,"Wynn Resorts, Limited (NasdaqGS:WYNN)",NasdaqGS:WYNN,Investor Activism,Settled,-,-,-,IQTR559528714
04/17/2018,Open Text Corporation (NasdaqGS:OTEX),NasdaqGS:OTEX,Investor Activism,Announced,-,"Blue Harbour Group, L.P.",-,IQTR609760631
04/16/2018,Whitbread PLC (LSE:WTB),LSE:WTB,Investor Activism,Successful,-,Elliott Management Corporation,-,IQTR559574799
04/13/2018,"ULVAC, Inc. (TSE:6728)",TSE:6728,Investor Activism,Announced,-,"Taiyo Pacific Partners, LP",-,IQTR598568490
04/12/2018,Micro Focus International plc (LSE:MCRO),LSE:MCRO,Investor Activism,Announced,-,Elliott Management Corporation,-,IQTR600419879
04/11/2018,Equifax Inc. (NYSE:EFX),NYSE:EFX,Investor Activism,Announced,-,CtW Investment Group,-,IQTR558882256
04/11/2018,"Globalstar, Inc. (AMEX:GSAT)",AMEX:GSAT,Investor Activism,Settled,-,"Mudrick Capital Management, LP",-,IQTR558916635
04/11/2018,Capital One Financial Corporation (NYSE:COF),NYSE:COF,Investor Activism,Announced,-,-,-,IQTR558995969
04/10/2018,"BioDelivery Sciences International, Inc. (NasdaqCM:BDSI)",NasdaqCM:BDSI,Investor Activism,Settled,-,"Broadfin Capital, LLC",-,IQTR558755178
04/09/2018,Crescent Point Energy Corp. (TSX:CPG),TSX:CPG,Investor Activism,Unsuccessful,-,Cation Capital Inc.,-,IQTR558608014
04/09/2018,"Ironwood Pharmaceuticals, Inc. (NasdaqGS:IRWD)",NasdaqGS:IRWD,Investor Activism,Announced,-,Sarissa Capital Management,-,IQTR558620750
04/09/2018,"Perry Ellis International, Inc.",-,Investor Activism,Settled,-,-,-,IQTR558649749
04/09/2018,"PDL BioPharma, Inc. (NasdaqGS:PDLI)",NasdaqGS:PDLI,Investor Activism,Withdrawn,-,SevenSaoi Capital,-,IQTR558649945
04/09/2018,Banca Popolare di Sondrio S.C.p.A. (BIT:BPSO),BIT:BPSO,Investor Activism,Announced,-,Amber Capital UK LLP,-,IQTR612053112
04/06/2018,SLM Corporation (NasdaqGS:SLM),NasdaqGS:SLM,Investor Activism,Announced,-,ValueAct Capital Management L.P.,-,IQTR576784474
04/06/2018,"Matsuya Co., Ltd. (TSE:8237)",TSE:8237,Investor Activism,Announced,-,"MUFG Bank, Ltd.,Investment Banking Arm",-,IQTR598557401
04/06/2018,Unitika Ltd. (TSE:3103),TSE:3103,Investor Activism,Announced,-,"MUFG Bank, Ltd.,Investment Banking Arm",-,IQTR598571536
04/06/2018,"CMIC HOLDINGS Co., Ltd. (TSE:2309)",TSE:2309,Investor Activism,Announced,-,Dalton Investments LLC,-,IQTR599152827
04/05/2018,"Carrizo Oil & Gas, Inc. (NasdaqGS:CRZO)",NasdaqGS:CRZO,Investor Activism,Announced,-,"Kimmeridge Energy Management Company, LLC",-,IQTR558238809
04/05/2018,CDH Car Rental Service Limited,-,Investor Activism,Announced,-,Ocean Imagination L.P.,-,IQTR558359903
04/05/2018,Telecom Italia S.p.A. (BIT:TIT),BIT:TIT,Investor Activism,Successful,-,Vivendi SA (ENXTPA:VIV),-,IQTR558365799
04/05/2018,"KS Bancorp, Inc. (OTCPK:KSBI)",OTCPK:KSBI,Investor Activism,Announced,-,-,-,IQTR558401082
04/05/2018,"Aratana Therapeutics, Inc. (NasdaqGM:PETX)",NasdaqGM:PETX,Investor Activism,Settled,-,"Engaged Capital, LLC",-,IQTR566456378
04/05/2018,Macerich Company (NYSE:MAC),NYSE:MAC,Investor Activism,Announced,-,Starboard Value LP,-,IQTR600512648
04/05/2018,Maruka Corporation (TSE:7594),TSE:7594,Investor Activism,Announced,-,Symphony Financial Partners(Singapore) Pte. Ltd.,-,IQTR602617200
04/05/2018,eHi Car Services Limited,-,Investor Activism,Withdrawn,-,Ocean Link Partners Limited,-,IQTR603133965
04/05/2018,"McDermott International, Inc. (NYSE:MDR)",NYSE:MDR,Investor Activism,Announced,-,"Hotchkis and Wiley Capital Management, LLC",-,IQTR608721933
04/04/2018,PolyMet Mining Corp. (TSX:POM),TSX:POM,Investor Activism,Announced,-,Glencore plc (LSE:GLEN),-,IQTR558219551
04/04/2018,"Hawthorn Bancshares, Inc. (NasdaqGS:HWBK)",NasdaqGS:HWBK,Investor Activism,Announced,-,"Ategra Capital Management, LLC",-,IQTR558223959
04/04/2018,Navient Corporation (NasdaqGS:NAVI),NasdaqGS:NAVI,Investor Activism,Settled,-,"Canyon Capital Advisors, LLC",-,IQTR558230105
04/04/2018,"Forest City Realty Trust, Inc.",-,Investor Activism,Settled,-,Starboard Value LP,-,IQTR558262134
04/04/2018,Artis Real Estate Investment Trust (TSX:AX.UN),TSX:AX.UN,Investor Activism,Announced,-,Sandpiper Group Holdings Inc.,-,IQTR576782844
04/04/2018,"Liberty Tax, Inc. (OTCPK:TAXA)",OTCPK:TAXA,Investor Activism,Settled,-,"Cannell Capital LLC; Vintage Capital Management, LLC",-,IQTR576783477
04/03/2018,Verizon Communications Inc. (NYSE:VZ),NYSE:VZ,Investor Activism,Unsuccessful,-,Trillium Asset Management LLC,-,IQTR558034270
04/03/2018,"American Water Works Company, Inc. (NYSE:AWK)",NYSE:AWK,Investor Activism,Announced,-,"NorthStar Asset Management, Inc.",-,IQTR558038255
04/03/2018,Geospace Technologies Corporation (NasdaqGS:GEOS),NasdaqGS:GEOS,Investor Activism,Announced,-,"Lemelson Capital Management, LLC",-,IQTR594789292
04/03/2018,"Consolidated Communications Holdings, Inc. (NasdaqGS:CNSL)",NasdaqGS:CNSL,Investor Activism,Announced,-,Maglan Capital LP,-,IQTR600350591
04/02/2018,LaSalle Hotel Properties,-,Investor Activism,Withdrawn,-,HG Vora Capital,-,IQTR557889565
04/02/2018,"Charter Communications, Inc. (NasdaqGS:CHTR)",NasdaqGS:CHTR,Investor Activism,Unsuccessful,-,The California State Teachers Employees' Retirement System,-,IQTR557916132
04/02/2018,"Commvault Systems, Inc. (NasdaqGS:CVLT)",NasdaqGS:CVLT,Investor Activism,Settled,-,Elliott Management Corporation,-,IQTR557919670
04/02/2018,"BioCryst Pharmaceuticals, Inc. (NasdaqGS:BCRX)",NasdaqGS:BCRX,Investor Activism,Successful,-,"RA Capital Management, LLC",-,IQTR557927964
04/02/2018,hopTo Inc. (OTCPK:HPTO),OTCPK:HPTO,Investor Activism,Successful,-,"Novelty Capital, LLC",-,IQTR579466331
03/27/2018,Crius Energy Trust (TSX:KWH.UN),TSX:KWH.UN,Investor Activism,Settled,-,"JCP Investment Management, LLC",-,IQTR557382885
03/27/2018,AbbVie Inc. (NYSE:ABBV),NYSE:ABBV,Investor Activism,Announced,-,Mercy Investment Services,-,IQTR557394515
03/26/2018,eBay Inc. (NasdaqGS:EBAY),NasdaqGS:EBAY,Investor Activism,Announced,-,-,-,IQTR557291859
03/26/2018,Verizon Communications Inc. (NYSE:VZ),NYSE:VZ,Investor Activism,Announced,-,Association Of Belltel Retirees,-,IQTR557293830
03/26/2018,Travelport Worldwide Limited (NYSE:TVPT),NYSE:TVPT,Investor Activism,Successful,-,Elliott Management Corporation,-,IQTR557296218
03/26/2018,Petróleo Brasileiro S.A. - Petrobras (BOVESPA:PETR4),BOVESPA:PETR4,Investor Activism,Announced,-,Leblon Equities Gestão de Recursos Ltda.,-,IQTR600461105
03/24/2018,Destination Maternity Corporation (NasdaqGS:DEST),NasdaqGS:DEST,Investor Activism,Successful,-,-,-,IQTR557357481
03/23/2018,"Aqua Metals, Inc. (NasdaqCM:AQMS)",NasdaqCM:AQMS,Investor Activism,Settled,-,Kanen Wealth Management Llc,-,IQTR557293930
03/23/2018,"Alder BioPharmaceuticals, Inc. (NasdaqGM:ALDR)",NasdaqGM:ALDR,Investor Activism,Successful,-,"Redmile Group, LLC",-,IQTR576161796
03/22/2018,"Gulf Island Fabrication, Inc. (NasdaqGS:GIFI)",NasdaqGS:GIFI,Investor Activism,Announced,-,Piton Capital Partners LLC,-,IQTR556977536
03/21/2018,Infigen Energy Limited (ASX:IFN),ASX:IFN,Investor Activism,Withdrawn,-,-,-,IQTR556808290
03/21/2018,8IP Emerging Companies Limited (ASX:8EC),ASX:8EC,Investor Activism,Unsuccessful,-,Aurora Funds Management Limited,-,IQTR556819959
03/21/2018,"Premier Exhibitions, Inc. (OTCPK:PRXI.Q)",OTCPK:PRXI.Q,Investor Activism,Announced,-,"Alta Fundamental Advisers, LLC",-,IQTR556844207
03/21/2018,InfuSystem Holdings Inc. (AMEX:INFU),AMEX:INFU,Investor Activism,Unsuccessful,-,Meson Capital Partners LLC,-,IQTR556856520
03/21/2018,Pathfinder Minerals Plc (AIM:PFP),AIM:PFP,Investor Activism,Withdrawn,-,-,-,IQTR556971800
03/20/2018,Layne Christensen Company,-,Investor Activism,Unsuccessful,-,Littlejohn & Co. LLC,-,IQTR556692037
03/20/2018,Acacia Research Corporation (NasdaqGS:ACTG),NasdaqGS:ACTG,Investor Activism,Announced,-,"Sidus Investment Management, LLC",-,IQTR556699681
03/19/2018,"Vitamin Shoppe, Inc. (NYSE:VSI)",NYSE:VSI,Investor Activism,Settled,-,"Vintage Capital Management, LLC",-,IQTR556586538
03/19/2018,Gogo Inc. (NasdaqGS:GOGO),NasdaqGS:GOGO,Investor Activism,Announced,-,Senator Investment Group LP,-,IQTR556610439
03/19/2018,"Life Storage, Inc. (NYSE:LSI)",NYSE:LSI,Investor Activism,Settled,-,"Land and Buildings Investment Management, LLC",-,IQTR576169288
03/19/2018,Fortis Healthcare Limited (BSE:532843),BSE:532843,Investor Activism,Announced,-,Elliott Management Corporation,-,IQTR594453647
03/19/2018,"Macnica Fuji Electronics Holdings, Inc. (TSE:3132)",TSE:3132,Investor Activism,Announced,-,Dalton Investments LLC,-,IQTR598571612
03/19/2018,Latécoère S.A. (ENXTPA:LAT),ENXTPA:LAT,Investor Activism,Announced,-,Financiere De l'Echiquier,-,IQTR612048797
03/16/2018,Newell Brands Inc. (NasdaqGS:NWL),NasdaqGS:NWL,Investor Activism,Settled,-,Icahn Capital LP,-,IQTR556574200
03/16/2018,"Repro Med Systems, Inc. (OTCPK:REPR)",OTCPK:REPR,Investor Activism,Withdrawn,-,"Horton Capital Management, LLC",-,IQTR556688890
03/16/2018,"SPS Commerce, Inc. (NasdaqGS:SPSC)",NasdaqGS:SPSC,Investor Activism,Settled,-,"Ancora Advisors, LLC; Legion Partners Asset Management, LLC",-,IQTR575329224
03/16/2018,"Bemis Company, Inc. (NYSE:BMS)",NYSE:BMS,Investor Activism,Settled,-,Starboard Value LP,-,IQTR576042241
03/15/2018,Altaba Inc. (NasdaqGS:AABA),NasdaqGS:AABA,Investor Activism,Announced,-,TCI Fund Management Limited,-,IQTR556340395
03/15/2018,Optiscan Imaging Limited (ASX:OIL),ASX:OIL,Investor Activism,Announced,-,Ibsen Pty Ltd,-,IQTR558127262
03/15/2018,Telecom Italia S.p.A. (BIT:TIT),BIT:TIT,Investor Activism,Successful,-,Elliott Management Corporation,-,IQTR558600687
03/14/2018,Rio Tinto Limited,-,Investor Activism,Unsuccessful,-,Church of England Pension Board,-,IQTR556080299
03/14/2018,Restar Holdings Corporation (TSE:3156),TSE:3156,Investor Activism,Announced,-,"MUFG Bank, Ltd.,Investment Banking Arm",-,IQTR598568676
03/13/2018,Viridium Pacific Group Ltd. (TSXV:VIR),TSXV:VIR,Investor Activism,Announced,-,"E & R Holdings, Inc.",-,IQTR556085408
03/13/2018,"Xerium Technologies, Inc.",-,Investor Activism,Announced,-,"Barington Capital Group, L.P.",-,IQTR559008025
03/12/2018,"VMware, Inc. (NYSE:VMW)",NYSE:VMW,Investor Activism,Announced,-,Jericho Capital Asset Management L.P.,-,IQTR555788463
03/12/2018,"Safeguard Scientifics, Inc. (NYSE:SFE)",NYSE:SFE,Investor Activism,Announced,-,"Yakira Capital Management, Inc.",-,IQTR555802763
03/12/2018,Managed Duration Investment Grade Municipal Fund,-,Investor Activism,Settled,-,Karpus Management Inc.,-,IQTR555809690
03/12/2018,DAVIDsTEA Inc. (NasdaqGM:DTEA),NasdaqGM:DTEA,Investor Activism,Successful,-,Rainy Day Investments Limited,-,IQTR555928457
03/12/2018,"Amber Road, Inc. (NYSE:AMBR)",NYSE:AMBR,Investor Activism,Announced,-,"Altai Capital Management, L.P.",-,IQTR555945947
03/12/2018,"RTW Retailwinds, Inc. (NYSE:RTW)",NYSE:RTW,Investor Activism,Announced,-,Kanen Wealth Management Llc,-,IQTR556076392
03/09/2018,DataDot Technology Limited (ASX:DDT),ASX:DDT,Investor Activism,Unsuccessful,-,-,-,IQTR555539540
03/09/2018,Auris Minerals Limited (ASX:AUR),ASX:AUR,Investor Activism,Announced,-,Investmet Limited; Delta Resource Management Pty Ltd,-,IQTR555539947
03/09/2018,"Spark Therapeutics, Inc. (NasdaqGS:ONCE)",NasdaqGS:ONCE,Investor Activism,Announced,-,The Children's Hospital Of Philadelphia Foundation,-,IQTR555541368
03/09/2018,StoneMor Partners L.P. (NYSE:STON),NYSE:STON,Investor Activism,Settled,-,Axar Capital Management LP,-,IQTR555543667
03/09/2018,Telos Corporation,-,Investor Activism,Announced,-,"Wynnefield Capital, Inc.",-,IQTR555543763
03/08/2018,BluMetric Environmental Inc. (TSXV:BLM),TSXV:BLM,Investor Activism,Unsuccessful,-,-,-,IQTR555535847
03/07/2018,Delaware Enhanced Global Dividend and Income Fund (NYSE:DEX),NYSE:DEX,Investor Activism,Unsuccessful,-,"Saba Capital Management, L.P.",-,IQTR555132649
03/07/2018,"Katakura Industries Co.,Ltd. (TSE:3001)",TSE:3001,Investor Activism,Announced,-,Oasis Management Company Ltd.,-,IQTR555324304
03/06/2018,Pureprofile Ltd (ASX:PPL),ASX:PPL,Investor Activism,Settled,-,Ocp Shelf 2 Pty Ltd,-,IQTR554952564
03/06/2018,Colorado Resources Ltd. (TSXV:CXO),TSXV:CXO,Investor Activism,Settled,-,-,-,IQTR555130033
03/06/2018,The Swiss Helvetia Fund Inc. (NYSE:SWZ),NYSE:SWZ,Investor Activism,Successful,-,"Bulldog Investors, LLC",-,IQTR570626976
03/05/2018,Bunge Limited (NYSE:BG),NYSE:BG,Investor Activism,Settled,-,Continental Grain Company Corp.,-,IQTR578602947
03/02/2018,"Taubman Centers, Inc. (NYSE:TCO)",NYSE:TCO,Investor Activism,Announced,-,"Land and Buildings Investment Management, LLC",-,IQTR554635763
03/02/2018,"MutualFirst Financial, Inc. (NasdaqGM:MFSF)",NasdaqGM:MFSF,Investor Activism,Announced,-,"Ancora Advisors, LLC",-,IQTR555508529
03/01/2018,"Spanish Broadcasting System, Inc. (OTCPK:SBSA.A)",OTCPK:SBSA.A,Investor Activism,Announced,-,Bluestone Financial Ltd,-,IQTR554627947
03/01/2018,"Rockwell Medical, Inc. (NasdaqGM:RMTI)",NasdaqGM:RMTI,Investor Activism,Settled,-,"Richmond Brothers, Inc.",-,IQTR554631852
03/01/2018,"Autoliv, Inc. (NYSE:ALV)",NYSE:ALV,Investor Activism,Settled,-,Cevian Capital II Gp Limited,-,IQTR596505556
02/27/2018,Genesco Inc. (NYSE:GCO),NYSE:GCO,Investor Activism,Settled,-,"Legion Partners Asset Management, LLC",-,IQTR554315079
02/27/2018,CSE Global Limited (SGX:544),SGX:544,Investor Activism,Announced,-,"Quarz Capital Management, Ltd.",-,IQTR555127209
02/27/2018,Noble Group Limited (SGX:CGP),SGX:CGP,Investor Activism,Announced,-,Goldilocks Investment Company Limited,-,IQTR595481226
02/27/2018,Mitsubishi Motors Corporation (TSE:7211),TSE:7211,Investor Activism,Announced,-,"Mitsubishi Heavy Industries, Ltd. (TSE:7011)",-,IQTR598571472
02/26/2018,"Determine, Inc. (OTCPK:DTRM)",OTCPK:DTRM,Investor Activism,Successful,-,-,-,IQTR554121539
02/26/2018,"HopFed Bancorp, Inc. (NasdaqGM:HFBC)",NasdaqGM:HFBC,Investor Activism,Settled,-,Stilwell Value LLC,-,IQTR554142459
02/26/2018,Turquoise Hill Resources Ltd. (TSX:TRQ),TSX:TRQ,Investor Activism,Withdrawn,-,SailingStone Capital Partners LLC,-,IQTR554216277
02/26/2018,Tesco PLC (LSE:TSCO),LSE:TSCO,Investor Activism,Unsuccessful,-,Artisan Partners Limited Partnership,-,IQTR554289928
02/26/2018,"WSI Industries, Inc.",-,Investor Activism,Withdrawn,-,"DPW Holdings, Inc. (AMEX:DPW)",-,IQTR554432828
02/26/2018,Auris Minerals Limited (ASX:AUR),ASX:AUR,Investor Activism,Announced,-,"All-States Finance Pty. Limited; Mandevilla Pty. Ltd.; Riverview Corporation Pty Ltd, Asset Management Arm",-,IQTR555540075
02/23/2018,Cars.com Inc. (NYSE:CARS),NYSE:CARS,Investor Activism,Settled,-,Starboard Value LP,-,IQTR553825723
02/23/2018,Equitable Financial Corp. (OTCPK:EQFN),OTCPK:EQFN,Investor Activism,Settled,-,Elkhorn Partners L.P.,-,IQTR553841060
02/22/2018,"QTS Realty Trust, Inc. (NYSE:QTS)",NYSE:QTS,Investor Activism,Announced,-,"Land and Buildings Investment Management, LLC",-,IQTR553832145
02/21/2018,"Glance Technologies Inc., Prior to Reverse Merger with Glance Mobile Inc.",-,Investor Activism,Successful,-,-,-,IQTR553513406
02/21/2018,"Bloomin' Brands, Inc. (NasdaqGS:BLMN)",NasdaqGS:BLMN,Investor Activism,Announced,-,"Barington Capital Group, L.P.",-,IQTR553600176
02/21/2018,Fidessa Group Holdings Limited,-,Investor Activism,Announced,-,Elliott Management Corporation,-,IQTR578234545
02/20/2018,Rayonier Advanced Materials Inc. (NYSE:RYAM),NYSE:RYAM,Investor Activism,Settled,-,"Marcato Capital Management, LLC",-,IQTR554805289
02/20/2018,Actuant Corporation (NYSE:ATU),NYSE:ATU,Investor Activism,Settled,-,"Southeastern Asset Management, Inc.",-,IQTR576062228
02/20/2018,"Nishimatsuya Chain Co., Ltd. (TSE:7545)",TSE:7545,Investor Activism,Announced,-,"Ichigo Asset Management International, Pte. Ltd.",-,IQTR598557008
02/20/2018,"T&K Toka Co., Ltd. (TSE:4636)",TSE:4636,Investor Activism,Announced,-,Dalton Investments LLC,-,IQTR598568919
02/16/2018,Intrusion Inc. (OTCPK:INTZ),OTCPK:INTZ,Investor Activism,Announced,-,"MAZ Capital Advisors, LLC",-,IQTR553135239
02/16/2018,"BioCryst Pharmaceuticals, Inc. (NasdaqGS:BCRX)",NasdaqGS:BCRX,Investor Activism,Successful,-,"Great Point Partners, LLC",-,IQTR553138297
02/16/2018,Madison Covered Call & Equity Strategy Fund (NYSE:MCN),NYSE:MCN,Investor Activism,Settled,-,Karpus Management Inc.,-,IQTR553144123
02/15/2018,Jack in the Box Inc. (NasdaqGS:JACK),NasdaqGS:JACK,Investor Activism,Settled,-,JANA Partners LLC,-,IQTR553083439
02/15/2018,"Avis Budget Group, Inc. (NasdaqGS:CAR)",NasdaqGS:CAR,Investor Activism,Settled,-,"SRS Investment Management, LLC",-,IQTR553084439
02/15/2018,"Chugoku Marine Paints, Ltd. (TSE:4617)",TSE:4617,Investor Activism,Announced,-,Office Support Co. Ltd.,-,IQTR587070670
02/15/2018,"Maxell Holdings, Ltd. (TSE:6810)",TSE:6810,Investor Activism,Announced,-,Usonian Investments LLC,-,IQTR599151959
02/14/2018,"Harte Hanks, Inc. (NYSE:HHS)",NYSE:HHS,Investor Activism,Settled,-,-,-,IQTR554789563
02/14/2018,ZEN Graphene Solutions Ltd. (TSXV:ZEN),TSXV:ZEN,Investor Activism,Successful,-,-,-,IQTR556949576
02/14/2018,OHA Investment Corporation (NasdaqGS:OHAI),NasdaqGS:OHAI,Investor Activism,Announced,-,"Etude Capital, LLC",-,IQTR558241389
02/12/2018,Kin Mining NL (ASX:KIN),ASX:KIN,Investor Activism,Withdrawn,-,Orbit Drilling Pty. Ltd.,-,IQTR552605674
