Artist Alpha Sort,Artist Begin Date,Artist Display Bio,Artist Display Name,Artist End Date,Artist Nationality,Artist Prefix,Artist Role,Symbolic Value KPI,Legality KPI ,Preservation KPI Materials,totalKPIs,Materials Classifying - Preservation KPI,If Null,CaseTotalKPI,Risk Assessment - Preservation KPI,City,Classification,Country,County,Credit Line,Culture,Department,Dimensions,Dynasty,Excavation,F45,F46,F47,F48,F49,Geography Type,Is Highlight,Is Public Domain,Link Resource,Locale,Locus,Medium,Metadata Date,Number of Records,Object Begin Date,Object Date,Object End Date,Object ID,ObjectName,ObjectNumber,Period,Portfolio,Region,Reign,Repository,Rights and Reproduction,Risk Assessment - Preservation KPI Part 2,River,State,Subregion,Tags,Title
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"From the Hanna S. Kohn Collection, 1951",probably European,Costume Institute,,,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/114391,,,enamel,4/1/2019 8:00:02 AM,1,1775,ca. 1780,1785,114391,Button,50.231.197–.202,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Buttons,Button
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"From the Hanna S. Kohn Collection, 1951",French,Costume Institute,,,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/114398,,,metal,4/1/2019 8:00:02 AM,1,1780,ca. 1785,1789,114398,Button,50.231.231–.233,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Buttons|Bagpipes,Button
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. Doris E. Grossman, 1974",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/114414,,,leather,4/1/2019 8:00:02 AM,1,1930,1930s,1939,114414,Clutch,"1974.335.11a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Clutch
"Levine, Herbert, Inc.",1949,"American, founded 1949",Herbert Levine Inc.,9999,American,,Design House,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Beth and Herbert Levine, 1977",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/114486,,,leather,4/1/2019 8:00:02 AM,1,1958,1958,1958,114486,Shoes,"1977.287.15a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Shoes
"Levine, Herbert, Inc.",1949,"American, founded 1949",Herbert Levine Inc.,9999,American,,Design House,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Beth and Herbert Levine, 1977",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/114523,,,"synthetics, glass",4/1/2019 8:00:02 AM,1,1954,1954,1954,114523,Evening shoes,1977.287.9,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Evening shoes
Saks Fifth Avenue,1924,"American, founded 1924",Saks Fifth Avenue,9999,American,,Manufacturer,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Laurie Vance Johnson, 1981",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/114556,,,"silk, leather, rayon",4/1/2019 8:00:02 AM,1,1953,ca. 1958,1963,114556,Shoes,"1981.264.21a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Shoes
Bergdorf Goodman,1899,"American, founded 1899",Bergdorf Goodman,9999,American,,Manufacturer,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. William Bamberger, 1942",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/114564,,,leather,4/1/2019 8:00:02 AM,1,1700,1700–1942,1942,114564,Slippers,"C.I.42.139.8a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Footwear,Slippers
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"From the Hanna S. Kohn Collection, 1951",probably European,Costume Institute,,,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/114695,,,[no medium available],4/1/2019 8:00:02 AM,1,1700,18th century,1799,114695,Button,50.231.293,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Buttons|Cameos|Men|Horses,Button
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"From the Hanna S. Kohn Collection, 1951",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/115320,,,glass,4/1/2019 8:00:02 AM,1,1700,1700–1951,1951,115320,Button,51.47.967–.991,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Buttons,Button
Carber Shoe Company,,,Carber Shoe Company,,,,Designer,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Carber Shoe Co., 1975",Italian,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/115578,,,"leather, wood",4/1/2019 8:00:02 AM,1,1972,1972,1972,115578,Sandals,"1975.103a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Footwear,Sandals
"Dior, House of|Dior, Christian",1947      |1905,"French, founded 1947|French, Granville 1905–1957 Montecatini",House of Dior|Christian Dior,9999      |1957,French|French,,Design House|Designer,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. Beatrice Glass, 1974",French,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/115906,,,pearls,4/1/2019 8:00:02 AM,1,1945,late 1940s,1949,115906,Necklace,1974.383.28,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Necklaces,Necklace
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Ronald Freyberger, 1973",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/116045,,,silk,4/1/2019 8:00:02 AM,1,1967,1967–67,1967,116045,Necktie,1973.142.23,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Necktie
Bergdorf Goodman|Bergdorf Goodman,1899      |1899,"American, founded 1899|American, founded 1899",Bergdorf Goodman|Bergdorf Goodman,9999      |9999,American|American,,Designer|Department Store,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Shirley S. Katzenbach, 1981",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/116341,,,"straw, silk",4/1/2019 8:00:02 AM,1,1945,ca. 1950,1955,116341,Hat,1981.42,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Hats,Hat
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. Constance Winde, 1940",American or European,Costume Institute,,,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/116507,,,cotton,4/1/2019 8:00:02 AM,1,1799,1799–1815,1815,116507,Bonnet,C.I.40.154,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Hats,Bonnet
"Victor, Sally",1905,"American, 1905–1977",Sally Victor,1977,American,,Designer,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Ralph Ingersoll, in memory of his wife, Elaine Keiffer Ingersoll, 1948",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/116725,,,feathers,4/1/2019 8:00:02 AM,1,1945,1945,1945,116725,Hat,C.I.48.40.11a–c,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Hats,Hat
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Purchase, 1949",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/116743,,,silk,4/1/2019 8:00:02 AM,1,1910,1910,1910,116743,Top hat,C.I.49.49.20,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Hats,Top hat
Bonwit Teller & Co.,1907,"American, founded 1907",Bonwit Teller & Co.,2050,American,,Department Store,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Miss Adelaide Milton de Groot, 1964",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/116842,,,wool,4/1/2019 8:00:02 AM,1,1956,1956,1956,116842,Hat,C.I.64.76.2,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Hats,Hat
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mr. John Kimball, 1945",Italian,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/116939,,,"beads, silk",4/1/2019 8:00:02 AM,1,1700,1700–1945,1945,116939,Drawstring bag,C.I.45.77.17,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Landscapes,Drawstring bag
Cartier,1847,"French, founded Paris, 1847",Cartier,2047,French,,Designer,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Margaret L. Berger, in memory of Aline M. Liebman, 1977",French,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/117064,,,"leather, silver, diamonds, onyx, pearls, silk",4/1/2019 8:00:02 AM,1,1930,1930s,1939,117064,Bag,1977.352.1a–d,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Bag
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mr. Louis Coblentz, 1958",French,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/117168,,,"glass, metal, silk",4/1/2019 8:00:02 AM,1,1800,19th century,1899,117168,Purse,C.I.58.23.21,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Boats|Men,Purse
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mr. and Mrs. Jason Berger, 1981",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/117231,,,metal,4/1/2019 8:00:02 AM,1,1915,ca. 1920,1925,117231,Bag,1981.334.2,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Bag
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Miss Ruth Payne Burgess, 1950",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/117462,,,"glass, leather, cotton",4/1/2019 8:00:02 AM,1,1900,early 20th century,1950,117462,Goggles,C.I.50.42.3a–d,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Goggles
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. Janos Scholz (Helen Marshall), 1978",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/117509,,,"metal, glass",4/1/2019 8:00:02 AM,1,1950,1950s,1959,117509,Comb,1978.583.35,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Comb
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Lorenzo Alvary, 1978",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/117782,,,feather,4/1/2019 8:00:02 AM,1,1900,20th century,1978,117782,Aigrette,1978.311.3,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Aigrette
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Lorenzo Alvary, 1978",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/117787,,,feathers,4/1/2019 8:00:02 AM,1,1900,20th century,1978,117787,Aigrette,1978.311.8,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Aigrette
"Balenciaga, Cristobal|Balenciaga House of",1895-01-21|1937,"Spanish, Guetaria, San Sebastian 1895–1972 Javea|French, founded 1937",Cristobal Balenciaga|House of Balenciaga,1972-03-23|9999,Spanish|French,,Designer|Design House,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Varney Thompson Elliott and Rosemary Thompson Franciscus,  in memory of their mother, Margaret Whitney Thompson, 1985",French,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/118389,,,silk,4/1/2019 8:00:02 AM,1,1950,late 1950s or early 1960s,1950,118389,Scarf,1985.365.14,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Scarf
Miyake Issey|Miyake Design Studio,1938,"Japanese, born 1938|Japanese",Issey Miyake|Miyake Design Studio,2038,Japanese|Japanese,,Designer|Design House,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Susan K. Manno, 2005",Japanese,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/118401,,,cotton,4/1/2019 8:00:02 AM,1,1980,1980,1980,118401,Dress,2005.173.2,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Dresses,Dress
Miyake Issey|Miyake Design Studio,1938,"Japanese, born 1938|Japanese",Issey Miyake|Miyake Design Studio,2038,Japanese|Japanese,,Designer|Design House,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Susan K. Manno, 2005",Japanese,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/118411,,,"a-c) wool/silk blend; d,e) metal",4/1/2019 8:00:02 AM,1,1985,1985,1985,118411,Dress,2005.173.9a–e,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Dresses,Dress
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Irma A. Bloomingdale, 1976",French,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/118647,,,"linen, cotton",4/1/2019 8:00:02 AM,1,1910,1910–30,1930,118647,Evening shirt,1976.390.46,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Shirts,Evening shirt
"Furst and Mooney, Inc",,,"Furst and Mooney, Inc",,,,Designer,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Furst & Mooney, Inc., 1981",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/118666,,,"snakeskin, leather",4/1/2019 8:00:02 AM,1,1980,1980,1980,118666,Purse,"1981.41.1a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Purses,Purse
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. Albert S. Morrow, 1937",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/118707,,,cotton,4/1/2019 8:00:02 AM,1,1700,1700–1937,1937,118707,Collar,C.I.37.45.91,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Collar
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Professor Ethna Byrne Costigan, 1974",Belgian,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/118926,,,[no medium available],4/1/2019 8:00:02 AM,1,1800,19th century,1899,118926,Scarf,1974.82.2,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Scarf
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mr. and Mrs. Lee Elmore, 1976",Belgian,Costume Institute,,,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/118951,,,linen,4/1/2019 8:00:02 AM,1,1860,1860,1860,118951,Scarf,1976.392.1,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Scarf
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Lee Simonson, 1938",European,Costume Institute,,,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/119101,,,[no medium available],4/1/2019 8:00:02 AM,1,1830,1830s,1839,119101,Neckcloth,C.I.38.23.384,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Neckcloth
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Miss Harriet W. Knight, 1941",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/119154,,,cotton,4/1/2019 8:00:02 AM,1,1890,1890s,1899,119154,Collar,C.I.41.145.13,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Collar
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. M. K. West, 1945",American,Costume Institute,,,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/119252,,,cotton,4/1/2019 8:00:02 AM,1,1860,1860s,1869,119252,Collar,C.I.45.112.3,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Collar
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Marvin B. Patterson (Mrs. Jefferson Patterson), 1978",French,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/119765,,,silk,4/1/2019 8:00:02 AM,1,1950,1950s,1959,119765,Gloves,"1978.582.223a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Gloves,Gloves
"Dawnelle, Inc.|Elvette",,,"Dawnelle, Inc.|Elvette",,,,Designer|Design House,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Sven E. Hsia, 1980",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/119834,,,"cotton, metallic thread",4/1/2019 8:00:02 AM,1,1955,late 1950s,1959,119834,Gloves,"1980.98.30a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Gloves,Gloves
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Purchase, Kyoto Costume Institute Gift, 1979",British,Costume Institute,,,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/120044,,,linen,4/1/2019 8:00:02 AM,1,1850,1850s,1859,120044,Undersleeves,"1979.175.10a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Undersleeves
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. Janos Scholz (Helen Marshall), 1978",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/120484,,,"wood, paper",4/1/2019 8:00:02 AM,1,1900,20th century,1978,120484,Fan,1978.583.20,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Fans,Fan
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. DeWitt Clinton Cohen, 1939",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/120612,,,paper,4/1/2019 8:00:02 AM,1,1800,1800–1939,1939,120612,Fan,C.I.39.79.67,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Fans|Men|Women,Fan
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. DeWitt Clinton Cohen, 1939",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/120617,,,paper,4/1/2019 8:00:02 AM,1,1800,1800–1939,1939,120617,Fan,C.I.39.79.71,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Birds|Fans|Women|Flowers,Fan
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mr. Edwin J. Gutman, 1944",probably American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/120689,,,mother-of-pearl,4/1/2019 8:00:02 AM,1,1850,late 19th century,1899,120689,Fan,C.I.44.51.1a–c,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Fans|Flowers,Fan
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Lee Simonson, 1938",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/120871,,,[no medium available],4/1/2019 8:00:02 AM,1,1800,19th century,1899,120871,Undersleeves,"C.I.38.23.316a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Undersleeves
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Anonymous, 1972",French,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/121385,,,silk,4/1/2019 8:00:02 AM,1,1910,1910,1910,121385,Stockings,"1972.69.5a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Stockings
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. Langdon Marvin, 1976",French,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/121403,,,cotton,4/1/2019 8:00:02 AM,1,1900,1900–1915,1915,121403,Stockings,"1976.137.4a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Stockings
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. Mildred C. Gray, 1954",French,Costume Institute,,,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/121582,,,silk,4/1/2019 8:00:02 AM,1,1865,1865,1865,121582,Stockings,"C.I.54.41.1a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Stockings
A. Sulka & Company,1893,"French, 1893–2002",A. Sulka & Company,2002,French,,Design House,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. Doris E. Grossman, 1978",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/121727,,,"rayon, silk",4/1/2019 8:00:02 AM,1,1940,1940s,1949,121727,Necktie,1978.36.8,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Necktie
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Marvin B. Patterson (Mrs. Jefferson Patterson), 1978",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/121765,,,cotton,4/1/2019 8:00:02 AM,1,1960,ca. 1965,1970,121765,Necktie,1978.582.139,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Necktie
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Miss Alice Page Converse, 1940",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/122085,,,"silk, silver",4/1/2019 8:00:02 AM,1,1905,1905–15,1915,122085,Parasol,C.I.40.145.1,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Parasol
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mr. Carl Van Vechten, 1941",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/122132,,,[no medium available],4/1/2019 8:00:02 AM,1,1915,1915–41,1947,122132,Necktie,C.I.41.105.105,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Necktie
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mr. Carl Van Vechten, 1941",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/122154,,,[no medium available],4/1/2019 8:00:02 AM,1,1915,1915–41,1947,122154,Necktie,C.I.41.105.14,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Necktie
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mr. Carl Van Vechten, 1941",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/122228,,,[no medium available],4/1/2019 8:00:02 AM,1,1915,1915–41,1947,122228,Necktie,C.I.41.105.83,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Necktie
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mr. Carl Van Vechten, 1941",American,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/122240,,,[no medium available],4/1/2019 8:00:02 AM,1,1915,1915–41,1947,122240,Necktie,C.I.41.105.94,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Stars,Necktie
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Mrs. Arthur Wolf, 1943",probably Brazilian,Costume Institute,,,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/122579,,,"feathers, ivory",4/1/2019 8:00:02 AM,1,1885,1885–90,1890,122579,Fan,C.I.43.45.2,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Fans|Flowers,Fan
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Purchase, Irene Lewisohn Bequest, 1984",probably French,Costume Institute,,,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/123117,,,"silk, wool",4/1/2019 8:00:02 AM,1,1825,ca. 1830,1835,123117,Shawl,1984.427,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Shawl
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Gift of Lee Simonson, 1938",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/123995,,,[no medium available],4/1/2019 8:00:02 AM,1,1700,1700–1938,1938,123995,Comb,C.I.38.23.419,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Comb
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,Main dress-Menswear,,,"Gift of Mrs. Wm. J. Doran, 1979",Japanese,Asian Art,Length at CB: 41 1/4 in. (104.8 cm),,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/126009,,,silk,4/1/2019 8:00:02 AM,1,1900,20th century,1979,126009,Kimono,1979.41.2,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Horses|Men,
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,Outerwear,Morocco,,"Gift of Kate Fowler Merle-Smith, 1941",,Islamic Art,Length: 68 in. (172.7 cm),,,,,,,,From,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/126609,,,Wool; embroidered,4/1/2019 8:00:02 AM,1,1800,1800–1941,1941,126609,Burnus,C.I.41.110.94,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Clothing and Accessories,Burnus
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"Purchase, Irene Lewisohn Bequest, 1964",Spanish,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/127549,,,cotton,4/1/2019 8:00:02 AM,1,1900,1900–1964,1964,127549,Shirt,C.I.64.37,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Shirts,Shirt
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"From the Hanna S. Kohn Collection, 1951",American or European,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/127620,,,[no medium available],4/1/2019 8:00:02 AM,1,1700,1700–1951,1951,127620,Button,51.47.2871,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Buttons|Men|Portraits,Button
,,,,,,,,0,0,0,1,Man made material,0,Overall Collection,Unknown,,,,,"From the Hanna S. Kohn Collection, 1951",Chinese,Costume Institute,,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/127631,,,[no medium available],4/1/2019 8:00:02 AM,1,1925,1925–51,1951,127631,Button,51.47.2884–.2891,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Buttons|Dragons|Flowers,Button
