"Object Number","Is Highlight","Is Public Domain","Object ID","Department","Object Name","Title","Culture","Period","Dynasty","Reign","Portfolio","Artist Role","Artist Prefix","Artist Display Name","Artist Display Bio","Artist Suffix","Artist Alpha Sort","Artist Nationality","Artist Begin Date","Artist End Date","Object Date","Object Begin Date","Object End Date","Medium","Dimensions","Credit Line","Geography Type","City","State","County","Country","Region","Subregion","Locale","Locus","Excavation","River","Classification","Rights and Reproduction","Link Resource","Metadata Date","Repository","Tags"
"33.39.31","False","True","222638","European Sculpture and Decorative Arts","Fragment","Fragment","Spanish","","","","","","","","","","","","","","16th–17th century","1500","1699","Cotton and wool","L. 50 3/4 x W. 14 3/4 inches (128.9 x 37.5 cm)","Gift of Mrs. Van Santvoord Merle-Smith, 1933","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/222638","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"33.90.54","False","True","222744","European Sculpture and Decorative Arts","Flounce","Flounce","Italian, Venice","","","","","","","","","","","","","","early 18th century","1700","1815","Needle lace","L. 144 x W. 8 inches (365.8 x 20.3 cm)","The Mabel Metcalf Fahnestock Collection, the gift of Ruth Fahnestock Schermerhorn and Faith Fahnestock, 1933","","","","","","","","","","","","Textiles-Laces","","http://www.metmuseum.org/art/collection/search/222744","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Lace"
"33.90.67","False","False","222757","European Sculpture and Decorative Arts","Panel ","Panel (one of a pair)","Italian, Burano","","","","","","","","","","","","","","18th century","1700","1799","Needle lace","L. 66 x W. 10 1/2 inches (167.6 x 26.7 cm)","The Mabel Metcalf Fahnestock Collection, the gift of Ruth Fahnestock Schermerhorn and Faith Fahnestock, 1933","","","","","","","","","","","","Textiles-Laces","","http://www.metmuseum.org/art/collection/search/222757","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"33.90.130","False","True","222817","European Sculpture and Decorative Arts","Edging","Edging","Flemish","","","","","","","","","","","","","","1750–1800","1750","1800","Bobbin lace","L. 24 1/2 x W. 3/4 inches
62.2 x 1.9 cm","The Mabel Metcalf Fahnestock Collection, the gift of Ruth Fahnestock Schermerhorn and Faith Fahnestock, 1933","","","","","","","","","","","","Textiles-Laces","","http://www.metmuseum.org/art/collection/search/222817","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Lace"
"33.90.157","False","True","222844","European Sculpture and Decorative Arts","Lappets","Lappets","French","","","","","","","","","","","","","","mid-18th century","1730","1765","Bobbin lace","L. 43 x  W. 3 1/2 inches (109.2 x 8.9 cm)","The Mabel Metcalf Fahnestock Collection, the gift of Ruth Fahnestock Schermerorn and Faith Fahnestock, 1933","","","","","","","","","","","","Textiles-Laces","","http://www.metmuseum.org/art/collection/search/222844","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Lace"
"33.90.173","False","False","222860","European Sculpture and Decorative Arts","Edging","Edging","French, Lille","","","","","","","","","","","","","","18th century","1700","1799","Bobbin lace","L. 142 1/2 x W. 2 1/4 (362.0 x 5.7 cm)","The Mabel Metcalf Fahnestock Collection, the gift of Ruth Fahnestock Schermerhorn and Faith Fahnestock, 1933","","","","","","","","","","","","Textiles-Laces","","http://www.metmuseum.org/art/collection/search/222860","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"35.80.49a","False","True","223052","European Sculpture and Decorative Arts","Border","Border","Italian, Milan","","","","","","","","","","","","","","18th century","1700","1799","Bobbin lace, Milanese lace","L. 66 in., W. 7 1/2 in. (167.6 x 19.1 cm.)","Bequest of Mary Strong Shattuck, 1935","","","","","","","","","","","","Textiles-Laces","","http://www.metmuseum.org/art/collection/search/223052","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Lace"
"35.136.2","False","False","223099","European Sculpture and Decorative Arts","Chasuble fragment","Part of a chasuble","French","","","","","","","","","","","","","","1750–60","1750","1760","Silk and metal thread","L. 43 x W. 37 inches (109.2 x 94.0 cm)","Rogers Fund, 1935","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/223099","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"36.90.69","False","True","223175","European Sculpture and Decorative Arts","Piece","Piece of dress silk","French or British","","","","","","","","","","","","","","1745–50","1745","1750","Silk ","L. 33 x W. 20 inches (83.8 x 50.8 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/223175","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"36.90.201","False","True","223302","European Sculpture and Decorative Arts","Piece","Piece","French","","","","","","","","","","","","","","1770?–?80","1770","1780","Silk and metal thread","L. 31 1/2 x W. 9 1/4 inches (80.0 x 23.5 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/223302","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers"
"36.90.319","False","True","223420","European Sculpture and Decorative Arts","Piece","Piece","Italian","","","","","","","","","","","","","","16th–17th century","1500","1699","Silk","L. 8 1/2 x W. 6 1/4 inches (21.6 x 15.9 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Velvets","","http://www.metmuseum.org/art/collection/search/223420","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Textile Fragments"
"36.90.364","False","True","223465","European Sculpture and Decorative Arts","Piece","Piece","Italian","","","","","","","","","","","","","","16th–17th century","1500","1699","Silk","L. 7 x W. 3 1/4 inches (17.8 x 8.3 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Velvets","","http://www.metmuseum.org/art/collection/search/223465","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"36.90.431","False","True","223533","European Sculpture and Decorative Arts","Piece","Piece","Italian","","","","","","","","","","","","","","16th–17th century","1500","1699","Silk","L. 45 x W. 3 3/4 inches (114.3 x 9.5 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Velvets","","http://www.metmuseum.org/art/collection/search/223533","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers"
"36.90.462","False","True","223564","European Sculpture and Decorative Arts","Piece","Piece","Italian","","","","","","","","","","","","","","16th–17th century","1500","1699","Silk","L. 4 3/4 x W. 4 1/4 inches (12.1 x 10.8 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Velvets","","http://www.metmuseum.org/art/collection/search/223564","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Textile Fragments"
"36.90.481","False","True","223583","European Sculpture and Decorative Arts","Piece","Piece","Italian","","","","","","","","","","","","","","16th–17th century","1500","1699","Silk and metal thread","L. 6 1/4 x W. 3 1/2 inches (15.9 x 8.9 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Velvets","","http://www.metmuseum.org/art/collection/search/223583","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Textile Fragments"
"36.90.500","False","True","223602","European Sculpture and Decorative Arts","Piece","Piece","Italian","","","","","","","","","","","","","","16th–17th century","1500","1599","Silk","L. 8 1/2 x W. 4 1/4 inches (21.6 x 10.8 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/223602","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"36.90.697","False","False","223798","European Sculpture and Decorative Arts","Piece","Piece","Russian","","","","","","","","","","","","","","late 19th century","1885","1899","Cotton","L. 25 1/2 x W. 19 inches
64.8 x 48.3 cm","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Printed","","http://www.metmuseum.org/art/collection/search/223798","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Paisley"
"36.90.769","False","False","223870","European Sculpture and Decorative Arts","Piece","Piece","Russian","","","","","","","","","","","","","","late 19th century","1885","1899","Cotton","L. 12 x W. 10 1/4 inches
30.5 x 26.0 cm","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Printed","","http://www.metmuseum.org/art/collection/search/223870","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"36.90.892","False","True","223993","European Sculpture and Decorative Arts","Piece","Piece","French","","","","","","","","","","","","","","1760–70","1760","1770","Silk","L. 21 x W. 8 inches (53.3 x 20.3 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/223993","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"36.90.957","False","True","224058","European Sculpture and Decorative Arts","Sample","Sample","French","","","","","","","","","","","","","","early 19th century","1800","1815","Silk and metal thread on silk","L. 2 1/2 x W. 2 3/8 inches
6.4 x 6 cm","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Embroidered","","http://www.metmuseum.org/art/collection/search/224058","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Leaves|Embroidery|Samples"
"36.90.1035","False","False","224127","European Sculpture and Decorative Arts","Border","Border","European","","","","","","","","","","","","","","19th century","1800","1899","Silk","L. 10 x W. 9 inches (25.4 x 22.9 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Velvets","","http://www.metmuseum.org/art/collection/search/224127","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Leaves|Textiles"
"36.90.1157","False","True","224249","European Sculpture and Decorative Arts","Piece","Piece","French","","","","","","","","","","","","","","18th century","1700","1799","Silk and metal thread","L. 10 1/2 x W. 9 1/2 inches (26.7 x 24.1 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Velvets","","http://www.metmuseum.org/art/collection/search/224249","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"36.90.1379","False","True","224462","European Sculpture and Decorative Arts","Piece","Piece","French","","","","","","","","","","","","","","18th century","1700","1799","Silk","L. 21 1/4 x W. 13 1/4 inches
54.0 x 33.7 cm","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/224462","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"36.90.1389","False","True","224472","European Sculpture and Decorative Arts","Piece","Piece","French","","","","","","","","","","","","","","1750–60","1750","1760","Silk","L. 20 1/4 x W. 19 inches
51.4 x 48.3 cm","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/224472","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"36.90.1429","False","True","224512","European Sculpture and Decorative Arts","Piece","Piece","Italian","","","","","","","","","","","","","","17th century","1600","1699","Silk","Overall: 18 1/2 x 16 in. (47 x 40.6 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/224512","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"36.90.1437","False","True","224520","European Sculpture and Decorative Arts","Piece","Piece","possibly Italian","","","","","","","","","","","","","","1720–30","1720","1730","Silk","L. 23 1/4 x w. 22 1/4 inches (59.1 x 56.5 cm) (loom width)
","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/224520","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"36.90.1757","False","True","224845","European Sculpture and Decorative Arts","Sample","Sample","French","","","","","","","","","","","","","","early 19th century","1800","1815","Silk and metal thread on felt","L. 2 3/4 x W. 2 1/8 inches
7 x 5.4 cm","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Embroidered","","http://www.metmuseum.org/art/collection/search/224845","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves|Embroidery|Samples"
"36.90.1782","False","False","224870","European Sculpture and Decorative Arts","Fringe","Fringe","Italian","","","","","","","","","","","","","","late 19th century","1885","1899","","L. 8 1/4 x W. 5/8 inches
21.0 x 1.6 cm","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Trimmings","","http://www.metmuseum.org/art/collection/search/224870","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Decorative Elements"
"36.90.1844","False","False","224926","European Sculpture and Decorative Arts","Fringe","Fringe","British or American","","","","","","","","","","","","","","20th century","1900","1924","Silk","L. 6 1/2 x W. 2 1/2 inches
16.5 x 6.4 cm","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Trimmings","","http://www.metmuseum.org/art/collection/search/224926","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Decorative Elements"
"36.90.1871","False","True","224952","European Sculpture and Decorative Arts","Galloon","Galloon","European","","","","","","","","","","","","","","late 18th–early 19th century","1785","1815","Silk and metal thread","L. 8 5/8 x W. 5/8 inches (21.9 x 1.6 cm)","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Trimmings","","http://www.metmuseum.org/art/collection/search/224952","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Textile Fragments"
"36.90.1938","False","True","225019","European Sculpture and Decorative Arts","Galloon","Galloon","European","","","","","","","","","","","","","","late 18th–early 19th century","1785","1815","Metal thread","L. 4 1/2 x W. 2 1/4 inches
11.4 x 5.7 cm","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Trimmings","","http://www.metmuseum.org/art/collection/search/225019","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Textiles"
"36.90.2169","False","False","225248","European Sculpture and Decorative Arts","Piece","Piece","French or British","","","","","","","","","","","","","","19th century","1800","1899","","","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Trimmings","","http://www.metmuseum.org/art/collection/search/225248","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Textile Fragments"
"36.90.2373","False","False","225444","European Sculpture and Decorative Arts","Ribbon","Ribbon","French","","","","","","","","","","","","","","19th century","1800","1899","","","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Trimmings","","http://www.metmuseum.org/art/collection/search/225444","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Utilitarian Objects"
"36.90.2433","False","False","225504","European Sculpture and Decorative Arts","Ribbon","Ribbon","French","","","","","","","","","","","","","","19th century","1800","1899","","","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Trimmings","","http://www.metmuseum.org/art/collection/search/225504","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Leaves|Samples"
"36.90.2469","False","False","225540","European Sculpture and Decorative Arts","Ribbon","Ribbon","French","","","","","","","","","","","","","","19th century","1800","1899","","","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Trimmings","","http://www.metmuseum.org/art/collection/search/225540","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Utilitarian Objects"
"36.90.2525","False","False","225596","European Sculpture and Decorative Arts","Ribbon","Ribbon","French","","","","","","","","","","","","","","19th century","1800","1899","","","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Trimmings","","http://www.metmuseum.org/art/collection/search/225596","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Utilitarian Objects"
"36.90.2556","False","False","225627","European Sculpture and Decorative Arts","Ribbon","Ribbon","French","","","","","","","","","","","","","","19th century","1800","1899","","","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Trimmings","","http://www.metmuseum.org/art/collection/search/225627","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Utilitarian Objects|Flowers"
"36.90.2821","False","False","225892","European Sculpture and Decorative Arts","Piece","Piece","French","","","","","","","","","","","","","","19th century","1800","1899","","","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/225892","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers"
"36.90.2836","False","False","225907","European Sculpture and Decorative Arts","Piece","Piece","French","","","","","","","","","","","","","","19th century","1800","1899","Silk","","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/225907","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Textile Fragments"
"36.90.2939","False","False","226010","European Sculpture and Decorative Arts","Piece","Piece","French","","","","","","","","","","","","","","19th century","1800","1899","Silk","","Gift of The United Piece Dye Works, 1936","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/226010","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"37.20.249","False","True","226112","European Sculpture and Decorative Arts","Border","Border","Italian","","","","","","","","","","","","","","18th century","1700","1799","Bobbin lace","L. 23 x W. 10 inches
58.4 x 25.4 cm","Bequest of Emma T. Gary, 1934","","","","","","","","","","","","Textiles-Laces","","http://www.metmuseum.org/art/collection/search/226112","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Lace"
"37.95.4","False","True","226204","European Sculpture and Decorative Arts","Piece","Piece","Spanish, Barcelona","","","","","Manufactory","","Miguel Forment and Co.","","","Miguel Forment and Co.","","","","late 18th century","1785","1799","Cotton","H. 14 1/2 x W. 26 1/2 inches","Rogers Fund, 1937","","","","","","","","","","","","Textiles-Printed","","http://www.metmuseum.org/art/collection/search/226204","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers"
"38.19.14c","False","True","226277","European Sculpture and Decorative Arts","Flounce","Flounce","French","","","","","","","","","","","","","","1715–24","1715","1724","Needle lace","L. 23 x W. 12 inches (58.4 x 30.5 cm)","Gift of Mrs. George Nichols, from the collection of her mother, Mrs. J.P. Morgan (1868-1925), 1938","","","","","","","","","","","","Textiles-Laces","","http://www.metmuseum.org/art/collection/search/226277","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Lace"
"40.63.4","False","True","226471","European Sculpture and Decorative Arts","Border","Dress border","French","","","","","","","","","","","","","","early 19th century","1800","1815","Silk","H. 5 1/4 x W. 11 inches
13.3 x 27.9 cm","Rogers Fund, 1940","","","","","","","","","","","","Textiles-Embroidered","","http://www.metmuseum.org/art/collection/search/226471","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves|Textiles"
"41.190.79","False","True","226693","European Sculpture and Decorative Arts","Piece","Piece","possibly French","","","","","","","","","","","","","","16th century","1500","1599","Silk","L. 54 1/2 x W. 21 3/4 inches (138.4 x 55.2 cm)","Bequest of George Blumenthal, 1941","","","","","","","","","","","","Textiles-Velvets","","http://www.metmuseum.org/art/collection/search/226693","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Leaves"
"44.33.2","False","False","226998","European Sculpture and Decorative Arts","Piece","Piece","French, Nantes","","","","","Manufactory","","Petitpierre factory, Ferdinand Favre et Cie","","","Petitpierre Factory, Ferdinand Favre et Cie","","","","ca. 1818–25","1813","1830","Cotton","L. 58 1/2 x W. 33 inches
148.6 x 83.8 cm","Rogers Fund, 1944","","","","","","","","","","","","Textiles-Printed","","http://www.metmuseum.org/art/collection/search/226998","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"46.156.77","False","True","227167","European Sculpture and Decorative Arts","Orphrey","Orphrey","Italian, Siena","","","","","","","","","","","","","","ca. 1400","1395","1405","Silk, linen, and metal thread","L. 21 1/2 x W. 6 1/4 inches (54.6 x 15.9 cm)","Fletcher Fund, 1946","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/227167","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Liturgical Objects|Angels"
"46.156.90","False","True","227180","European Sculpture and Decorative Arts","Piece","Piece","Italian, Venice or Genoa","","","","","","","","","","","","","","mid-15th century","1430","1465","Silk and metal thread","34 1/2 x 11 in. (87.6 x 27.9c m)","Fletcher Fund, 1946","","","","","","","","","","","","Textiles-Velvets","","http://www.metmuseum.org/art/collection/search/227180","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves"
"50.14.3","False","True","227487","European Sculpture and Decorative Arts","Tapestry","Winter from a set of The Seasons of Lucas","French, probably Paris","","","","","Manufactory|Designer","Probably by","Manufacture Nationale des Gobelins|Master of the Months of Lucas","French, established 1662|Netherlandish, active about 1535","","Manufacture Nationale des Gobelins|Master of the Months of Lucas","French|Netherlandish","1662      |1535      ","1799      |1535      ","designed ca. 1535, woven late 17th century","1685","1699","Wool, silk (20-21 warps per inch, 8-9 per cm.)","10 ft. 4 in. × 14 ft. 2 in. (315 × 431.8 cm)","Gift of Olivia M. Cutting, in memory of her husband William Bayard Cutting, 1950","","","","","","","","","","","","Textiles-Tapestries","","http://www.metmuseum.org/art/collection/search/227487","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Animals|Buildings|Men|Women|Winter"
"50.178.1","False","True","227505","European Sculpture and Decorative Arts","Piece","Piece (three joined pieces)","Hungarian, Nytra","","","","","Manufactory","","Nytra","","","Nytra","","","","first half 19th century","1800","1850","Metal thread on net","Side bands: L. 31 3/4 inches (80.6 cm); Central piece: L. 5 7/8 inches (14.9 cm)","Gift of Mrs. Bashford Dean through her sister, Mrs. Alexander M. Welch, 1950","","","","","","","","","","","","Textiles-Embroidered","","http://www.metmuseum.org/art/collection/search/227505","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers"
"52.141","False","True","227593","European Sculpture and Decorative Arts","Cover","Cover","Spanish","","","","","","","","","","","","","","second half 18th century","1750","1799","Silk and metal thread on silk","L. 113 x W. 69 inches (287 x 175.3 cm)","Rogers Fund, 1952","","","","","","","","","","","","Textiles-Embroidered","","http://www.metmuseum.org/art/collection/search/227593","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Utilitarian Objects|Birds|Leaves|Embroidery"
"53.162.18, .19","False","True","227667","European Sculpture and Decorative Arts","Lappets","Pair of lappets","Flemish, Brussels","","","","","","","","","","","","","","18th century","1700","1799","Bobbin lace, point d'Angleterre","53.162.18:  L. 23 x W. 3 1/4 to 4 7/8 inches (58.4 x 8.3 to 12.4 cm)
53.162.19: L. 23 1/2 x W. 3 1/4 to 4 3/4 inches (59.7 x 8.3 to 12.1) cm","Gift of Mrs. Albert Blum, 1953","","","","","","","","","","","","Textiles-Laces","","http://www.metmuseum.org/art/collection/search/227667","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves|Lace"
"53.162.66","False","True","227712","European Sculpture and Decorative Arts","Lappets and cap edging","Pair of lappets and joined cap edging","Flemish, Brussels","","","","","","","","","","","","","","early 18th century","1700","1715","Bobbin lace, point d'Angleterre","L. 69 1/2 x  W. (at ends) 3 5/8, W. (at center) 2 3/4 inches
176.5 x 9.2, 7.0 cm","Gift of Mrs. Albert Blum, 1953","","","","","","","","","","","","Textiles-Laces","","http://www.metmuseum.org/art/collection/search/227712","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Lace"
"54.7.12","False","True","227749","European Sculpture and Decorative Arts","Panel","Panel","French or British","","","","","","","","","","","","","","late 16th–early 17th century","1585","1615","Wool, silk and metal thread on canvas","L. 114 x W. 28 inches (289.6 x 71.1 cm)","Gift of Irwin Untermyer, 1954","","","","","","","","","","","","Textiles-Embroidered","","http://www.metmuseum.org/art/collection/search/227749","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Animals|Birds|Men|Women|Textiles"
"54.189.3","False","True","227768","European Sculpture and Decorative Arts","Altar frontal","Altar frontal","Italian or Spanish","","","","","","","","","","","","","","17th century","1600","1699","Embroidered net, buratto","L. 84 1/2 x H. 20 inches
214.6 x 50.8 cm","Gift of Susan Dwight Bliss, 1954","","","","","","","","","","","","Textiles-Laces","","http://www.metmuseum.org/art/collection/search/227768","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Birds|Liturgical Objects"
"54.203","False","False","227775","European Sculpture and Decorative Arts","Robe","Robe","Spanish","","","","","","","","","","","","","","19th century","1800","1899","Silk, metallic thread","","Gift of Adele Simpson, 1954","","","","","","","","","","","","Textiles-Embroidered","","http://www.metmuseum.org/art/collection/search/227775","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Robes|Flowers|Leaves"
"55.217.51","False","True","227829","European Sculpture and Decorative Arts","Piece","Piece","Italian","","","","","","","","","","","","","","17th century","1600","1699","Silk","Loom width: L. 31 3/4 x W. 22 3/4 inches (80.6 x 57.8 cm)","Gift of Susan Dwight Bliss, 1955","","","","","","","","","","","","Textiles-Velvets","","http://www.metmuseum.org/art/collection/search/227829","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Birds|Flowers"
"55.217.82","False","True","227860","European Sculpture and Decorative Arts","Bed cover","Bed cover","Italian, Genoa","","","","","","","","","","","","","","1730–60","1730","1760","Silk","10 ft. 4 in (greatest length). × 10 ft. 5 in. (315 × 317.5 cm)
Loom width: 22 in. (55.9 cm)","Gift of Susan Dwight Bliss, 1955","","","","","","","","","","","","Textiles-Woven","","http://www.metmuseum.org/art/collection/search/227860","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves|Coverlets and Quilts"
"57.122.84","False","True","228012","European Sculpture and Decorative Arts","Sampler","Sampler","German","","","","","","","","","","","","","","19th century","1800","1899","Linen on linen","H. 7 3/4 x W. 7 3/4 inches (19.7 x 19.7 cm)","From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957","","","","","","","","","","","","Textiles-Embroidered","","http://www.metmuseum.org/art/collection/search/228012","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"57.122.156","False","True","228083","European Sculpture and Decorative Arts","Sampler","Embroidered darning sampler","Dutch","","","","","","","","","","","","","","1771","1771","1771","Silk on cotton","18 3/8 × 18 3/4 in. (46.7 × 47.6 cm)","From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957","","","","","","","","","","","","Textiles-Embroidered","","http://www.metmuseum.org/art/collection/search/228083","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Coat of Arms|Embroidery"
"57.122.393","False","True","228318","European Sculpture and Decorative Arts","Sampler","Sampler","Scottish","","","","","","","","","","","","","","18th century","1700","1799","Silk on wool ","H. 12 1/2 x W. 9 3/8 inches (31.8 x 23.8 cm)","From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957","","","","","","","","","","","","Textiles-Embroidered","","http://www.metmuseum.org/art/collection/search/228318","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Inscriptions|Peacocks|Flowers|Embroidery"
